Key,Country,Region,Region_names,Income,Indicator,Indicator type,Indicator key word,Score,Evidence,Link,Numerical score,Comments 
Australia-Climate change framework law,Australia,EAP,East Asia and Pacific,High income,Climate change framework law,Governance,CC law,Yes,Climate Change Act 2022,,1.0,
Australia-National adaptation plan,Australia,EAP,East Asia and Pacific,High income,National adaptation plan,Governance,NAP,Yes,National Climate Resilience and Adaptation Strategy 2021-2025,https://www.dcceew.gov.au/climate-change/policy/adaptation/strategy/ncras-2021-25,1.0,
Australia-Long-term strategy,Australia,EAP,East Asia and Pacific,High income,Long-term strategy,Governance,LTS,Yes,UNFCCC,https://unfccc.int/process/the-paris-agreement/long-term-strategies,1.0,
Australia-Does the country include environmental criteria in procurement tenders? Give one example,Australia,EAP,East Asia and Pacific,High income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Yes,"The OECD Survey on Green Public Procurement of 2022 states that Australia has mandatory GPP requirements.

The Environmentally Sustainable Procurement Policy and Reporting Framework applies to construction services at or above $7.5 million from 1 July 2024. It requires public procurement processes in this category to demonstrate climate, environmental and circularity outcomes in their procurements by applying principles such as: actively minimize the
creation of waste and the amount that is sent to landfill; goods containing recycled content /recycled materials are used; optimize energy
efficiency; among others.

The specific set of criteria applicable to a project from the Policy's total set of criteria is adapted according to the project's characteristics.

Additionally, the Commonwealth Procurement Rules (CPRs) mandate that government procurements must consider environmental sustainability, including whole-of-life costs",https://www.oecd-ilibrary.org/; https://www.dcceew.gov.au/environment/protection/waste/sustainable-procurement/environmentally-sustainable-procurement-policy,1.0,
Austria-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Austria,ECA,Europe and Central Asia,High income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"The National Climate Change Committee supports the co-ordination of climate change related measures. It comprises high level representatives of the federal ministries involved in climate change and the Länder, of the “Social Partners”, as well as representatives from science, energy and industry interest groups, environmental NGOs and the political parties represented in the first chamber of the Parliament.",https://unfccc.int/sites/default/files/resource/AT_NC8-BR5-v2.pdf,1.0,
Austria-Does the national government (or other body) publish climate risk information covering all local government units?,Austria,ECA,Europe and Central Asia,High income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Yes,The Data Center of the Climate Change Centre Austria has a platform with climate data including climate change impact on federal territories.,https://data.ccca.ac.at/,1.0,
Austria-Do fiscal risk statements identify climate change-related risks?,Austria,ECA,Europe and Central Asia,High income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Yes,The Federal Medium-Term Expenditure Framework has a fiscal risk section that mentions climate change risk.,https://www.bmf.gv.at/bmfgvat/services/startseite-budget/budget2024.html,1.0,
Austria-Is climate change reflected in the budget guidelines?,Austria,ECA,Europe and Central Asia,High income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Yes,The Federal Medium-Term Expenditure Framework outlines climate action goals.,https://www.bmf.gv.at/bmfgvat/services/startseite-budget/budget2024.html,1.0,
Austria-Are climate-related expenditures identified in the budget and/or tracked?,Austria,ECA,Europe and Central Asia,High income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,Yes,A report from the European Commission states that Austria practices CBT.,https://economy-finance.ec.europa.eu/system/files/2023-06/2023%20Green%20Budgeting%20survey%20key%20findings.pdf,1.0,
"Austria-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Austria,ECA,Europe and Central Asia,High income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,Yes,"As an EU member country, Austria must incorporate climate change impact in its Environmental Impact Assessment at project level.",https://presse.oebb.at/dam/jcr:b484aad9-76bb-4359-a7d6-08733e9887ff/OEBB_GB2022_EN.pdf,1.0,
"Austria-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Austria,ECA,Europe and Central Asia,High income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,Yes,"Countries of the European Union are subjected to the CSRD, which is aligned with the TFCD. The CSRD went into effect in 2023, with a different timeline of implementation for different types of public companies. ÖBB publishes TCFD reports.",https://www.fsb.org/wp-content/uploads/P121023-2.pdf; https://presse.oebb.at/dam/jcr:b484aad9-76bb-4359-a7d6-08733e9887ff/OEBB_GB2022_EN.pdf,1.0,
Austria-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Austria,ECA,Europe and Central Asia,High income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,Yes,"a) The Climate change Adaptation Strategy South Tyrol project (running until June 2024) includes a climate risk analysis.

b) The Vienna City Council decided on the revised Smart City Strategy Vienna on February 23, 2022.",https://smartcity.wien.gv.at/wp-content/uploads/sites/3/2022/05/scwr_klima_2022_web-EN.pdf; https://www.eurac.edu/en/institutes-centers/center-for-climate-change-and-transformation/projects/adaptation-st,1.0,
Austria-Climate change framework law,Austria,ECA,Europe and Central Asia,High income,Climate change framework law,Governance,CC law,Yes,Climate Protection Act,,1.0,
Austria-National adaptation plan,Austria,ECA,Europe and Central Asia,High income,National adaptation plan,Governance,NAP,Yes,Austrian Adaptation Strategy and Austrian Action Plan,https://climate-adapt.eea.europa.eu/en/countries-regions/countries/austria,1.0,
Austria-Long-term strategy,Austria,ECA,Europe and Central Asia,High income,Long-term strategy,Governance,LTS,Yes,UNFCCC,https://unfccc.int/process/the-paris-agreement/long-term-strategies,1.0,
Austria-Does the country include environmental criteria in procurement tenders? Give one example,Austria,ECA,Europe and Central Asia,High income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Yes,"The revised Energy Efficiency Directive (EU/2023/1791) establishes ‘energy efficiency first’ as a fundamental principle of EU energy policy, giving it legal-standing. Energy efficiency must be considered by EU countries in all relevant policy and major investment decisions taken in the energy and non-energy sectors.

The revised directive entered into force on 10 October 2023.",https://energy.ec.europa.eu/topics/energy-efficiency/energy-efficiency-targets-directive-and-rules/energy-efficiency-directive_en,1.0,
Azerbaijan-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Azerbaijan,ECA,Europe and Central Asia,Upper-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"The National Coordinating Council for Sustainable Development of Azerbaijan (NCCSD) was established by the Order dated October 6, 2016. It is active.",https://president.az/az/articles/view/21314,1.0,
Azerbaijan-Does the national government (or other body) publish climate risk information covering all local government units?,Azerbaijan,ECA,Europe and Central Asia,Upper-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Partial,"Climate risk data in the Third Communication to the UNFCCC, but not regular. National Hydrometeorology Service does not have climate risk data for all the territory on its website.",https://unfccc.int/sites/default/files/resource/azenc3.pdf,0.5,
Azerbaijan-Do fiscal risk statements identify climate change-related risks?,Azerbaijan,ECA,Europe and Central Asia,Upper-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Yes,The Budget 2024 cites climate change as a fiscal risk.,https://www.maliyye.gov.az/scripts/pdfjs/web/viewer.html?file=/uploads/static-pages/files/65426bc58efc7.pdf,1.0,
Azerbaijan-Is climate change reflected in the budget guidelines?,Azerbaijan,ECA,Europe and Central Asia,Upper-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Yes,The Medium Term Fiscal Framework mentions climate change.,https://www.maliyye.gov.az/static/304/2024-2027,1.0,
Azerbaijan-Are climate-related expenditures identified in the budget and/or tracked?,Azerbaijan,ECA,Europe and Central Asia,Upper-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,The Budget 2024 has expenditures linked to SDG goals but not climate budget tagging.,https://www.maliyye.gov.az/scripts/pdfjs/web/viewer.html?file=/uploads/static-pages/files/65426bc58efc7.pdf,0.0,
"Azerbaijan-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Azerbaijan,ECA,Europe and Central Asia,Upper-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,Info not found,No climate screening for public investment was found. Could not find whether EIA consider climate change.,,0.0,
"Azerbaijan-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Azerbaijan,ECA,Europe and Central Asia,Upper-middle income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,Yes,"No mandatory TCFD requirements, but SOCAR Trading (SOE, the marketing arm of SOCAR) prepares a sustainability report with TCFD guidelines.",https://www.socartrading.com/about-us/esg,1.0,
Azerbaijan-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Azerbaijan,ECA,Europe and Central Asia,Upper-middle income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,No,Neither was found.,,0.0,
Azerbaijan-Climate change framework law,Azerbaijan,ECA,Europe and Central Asia,Upper-middle income,Climate change framework law,Governance,CC law,No,,,0.0,
Azerbaijan-National adaptation plan,Azerbaijan,ECA,Europe and Central Asia,Upper-middle income,National adaptation plan,Governance,NAP,No,,,0.0,
Azerbaijan-Long-term strategy,Azerbaijan,ECA,Europe and Central Asia,Upper-middle income,Long-term strategy,Governance,LTS,No,,,0.0,
Azerbaijan-Does the country include environmental criteria in procurement tenders? Give one example,Azerbaijan,ECA,Europe and Central Asia,Upper-middle income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,No,"In Azerbaijan, procurement is regulated by the Law on Government Procurements, which currently does not include mandatory environmental criteria.

However, Azerbaijan has been making progress toward integrating sustainability considerations, including environmental and social factors, into its procurement processes. Recent collaboration with UNEP aims to promote sustainable public procurement (SPP) and eco-labeling through various initiatives such as workshops. However, no formal legal framework for these measures has been introduced yet.",https://www.eu4environment.org/sustainable-public-procurement-and-eco-labelling-in-azerbaijan/,0.0,
Bahrain-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Bahrain,MNA,Middle East and North Africa,High income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"“The Joint National Committee for Climate Change (established in 2007, amended in 2015) supervises all climate issues in Bahrain and discusses and takes decisions on all activities, projects, and programs related to climate change in the Kingdom of Bahrain, including mitigation and adaptation measures, monitoring and following up on the latest international developments related to climate change, forming national positions and developing proposals to international climate agreements, as well as ensuring balance and complementarity between climate change commitments and the economic and social needs of sustainable development in Bahrain”.

https://www.sce.gov.bh/en/ClimateActioninBahrain?cms=iQRpheuphYtJ6pyXUGiNqvAikN8jAcW4
",,1.0,
Bahrain-Does the national government (or other body) publish climate risk information covering all local government units?,Bahrain,MNA,Middle East and North Africa,High income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,No,"The Ministry Of Transportation and Telecommunications (MTT)-Bahrain Meteorological Directorate (BMD) has several missions including to provide timely and accurate weather forecasts, to issue early warnings on the occurrences of critical weather phenomena, and to monitor climate, research and application, including climate change and environment studies. 

However, no update climate change data is available on its website. 
https://www.bahrainweather.gov.bh/ar/web/guest/home
",,0.0,
Bahrain-Do fiscal risk statements identify climate change-related risks?,Bahrain,MNA,Middle East and North Africa,High income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Info not found,No fiscal risk statement found on the Ministry of Finance website.,,0.0,
Bahrain-Is climate change reflected in the budget guidelines?,Bahrain,MNA,Middle East and North Africa,High income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,No,"No budget guidelines found on the Ministry of Finance website. 

The ""Fiscal Balance Program 2030"" makes no reference to climate change. https://business.bahrain.bh/wps/wcm/connect/c94fc0e9-7bc3-404b-8514-df98a8cc6265/Fiscal+Balance+Program.pdf?MOD=AJPERES&CVID=o8qdZlP",,0.0,
Bahrain-Are climate-related expenditures identified in the budget and/or tracked?,Bahrain,MNA,Middle East and North Africa,High income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,"“Environmental Protection Sector” is one of the functional categories of the 2023-2024 budget. But no reference is made to climate change. 

https://www.mofne.gov.bh/media/bu4l1wha/ci1191-2023_05_28_draft-law-budget-2023-2024-جداول-مشروع-قانون-اعتماد-الميزانية.pdf
",,0.0,
"Bahrain-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Bahrain,MNA,Middle East and North Africa,High income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,"Bahrain’s Standard Financial Manual (February 2024) describes the process for the approval of a new project, and states that the initial high-level study capturing the essential details and feasibility of the project includes notably the “impact on the environment (if applicable)”. However, no reference to climate change is made in this document.",https://www.mofne.gov.bh/media/11pdtm1t/sfm-v16-eng-final.pdf,0.0,
"Bahrain-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Bahrain,MNA,Middle East and North Africa,High income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,"Bahrain is not part of jurisdictions where the government or another authority has issued climate-related disclosure requirements that incorporate or draw from the TCFD recommendations (see TCFD 2023 Status Report: https://www.fsb.org/wp-content/uploads/P121023-2.pdf). 

No TCFD report published by major Bahrain SOEs found on the Internet.
",https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Bahrain-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Bahrain,MNA,Middle East and North Africa,High income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,No,No climate risk assessment nor climate change policy published at the subnational level.,,0.0,
Bahrain-Climate change framework law,Bahrain,MNA,Middle East and North Africa,High income,Climate change framework law,Governance,CC law,No,,,0.0,
Bahrain-National adaptation plan,Bahrain,MNA,Middle East and North Africa,High income,National adaptation plan,Governance,NAP,No,,,0.0,
Bahrain-Long-term strategy,Bahrain,MNA,Middle East and North Africa,High income,Long-term strategy,Governance,LTS,No,,,0.0,
Bahrain-Does the country include environmental criteria in procurement tenders? Give one example,Bahrain,MNA,Middle East and North Africa,High income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Yes,"Bahrain does not currently have a mandatory environmental criterion in its public procurement laws. However, in Bahrain's National Energy Efficiency Action Plan (NEEAP), several initiatives relate to energy efficiency in public procurement such as improved energy performance labelling and the use of district cooling systems for government buildings. 

One particular initiative that mandates an environmental criterion is The Government Buildings Lighting Replacement Initiative. In August 2013, Ministerial Order No. 6-14/2013 mandated the replacement of all incandescent and halogen lamps in government buildings with energy efficient lamps. The Order was circulated by the Cabinet to all government ministries and agencies. The use of energy efficient lamps became mandatory effective 13 February 2014.",https://www.undp.org/sites/g/files/zskgke326/files/2022-09/seu_neeap_report_2017.pdf,1.0,
Bangladesh-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Bangladesh,SAR,South Asia Region,Lower-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"“The Climate Change Unit (CCU) under the Ministry of Environment and Forest was launched in June 2010 as envisaged in the Bangladesh Climate Change Strategy and Action Plan (BCCSAP). As the key institution for the implementation of adaptation and mitigation, the CCU is tasked to coordinate with the climate change focal points of other ministries to mainstream climate change into national development planning”. 

Source : Bangladesh’s Climate Change and Gender Action Plan (2013). 
https://cdn.climatepolicyradar.org/navigator/BGD/2013/bangladesh-climate-change-and-gender-action-plan_d44007c1555bcd4276378e918865198e.pdf

The CCU was later renamed as the Climate Change Trust (CCT). Among the main missions of the CCT is : “to coordinate with different ministries / departments focal points on climate change”. 

https://bcct.gov.bd/site/page/ad36d1cb-6083-4ffd-a6e3-b6e2d707b8d8/-
",,1.0,
Bangladesh-Does the national government (or other body) publish climate risk information covering all local government units?,Bangladesh,SAR,South Asia Region,Lower-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Partial,"The Bangladesh Meteorological Department (BMD) is the forerunner in generating, acquiring and handling meteorological data. It provides forecasts, as well as climate warnings such as drought monitoring, but data are not necessarily updated. 

https://live8.bmd.gov.bd/p/Three-Month

The Flood Forecast and Warning Centre (FFWC) is an organization under the Bangladesh Meteorological Department that generates and provides flood forecast and warning information covering the whole territory. But, if water level data and forecast seem updated, flood maps seem not to have been updated since Autumn 2023.  

http://www.ffwc.gov.bd/index.php
",,0.5,
Bangladesh-Do fiscal risk statements identify climate change-related risks?,Bangladesh,SAR,South Asia Region,Lower-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Partial,"According to this IMF Country Report (2023), “further improving climate-related fiscal management is a key for an integrated government strategy to combat climate change. The implementation of the Climate Fiscal Framework is key to the success of Bangladesh’s climate strategies and will lay the foundation for sound and transparent climate-sensitive PFM processes. In this context, (…) the Ministry of Finance (MoF) will develop and implement methodologies for the analysis of macro-fiscal risks from climate change and publish such information in the Medium-Term Macroeconomic Policy Statement (MTMPS) (RM5 for end-June 2024”).",https://www.imf.org/-/media/Files/Publications/CR/2023/English/1BGDEA2023001.ashx,0.5,
Bangladesh-Is climate change reflected in the budget guidelines?,Bangladesh,SAR,South Asia Region,Lower-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Yes,"""In Asia-Pacific, at least 7 countries have integrated climate change into the budget circular. These are Bangladesh, Cambodia, Indonesia, Nepal, Pakistan, Philippines, and Thailand."" 
""In Bangladesh, the Budget Call Circular provides strategic directions to the sectoral ministries for the preparation of Medium-Term Budget Framework (MTBF). It has been made climate-inclusive by linking the major climate policies and strategies"".

https://www.undp.org/sites/g/files/zskgke326/files/2022-09/UNDP-Global-Climate-Public-Finance-Review-2022.pdf
",,1.0,
Bangladesh-Are climate-related expenditures identified in the budget and/or tracked?,Bangladesh,SAR,South Asia Region,Lower-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,Yes,"Bangladesh has introduced climate budget tagging starting in FY2018. 

https://www.uncclearn.org/wp-content/uploads/library/Main-Report.pdf
",,1.0,
"Bangladesh-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Bangladesh,SAR,South Asia Region,Lower-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,"According to this IMF Country Report (2023), under the IMF program, “the authorities will integrate climate considerations in the appraisal and selection of capital projects to improve the prioritization and allocation of resources for the Bangladesh Delta Plan and scaling up of climate-smart investment as envisaged in the NAP (Reform Measure 6 : ""Government to issue a circular on an update to the Green Book to include supplementary guidance on sector specific methodologies that integrate climate considerations in the appraisal of major infrastructure projects starting from two key sectors"" for end-December 2024 ; and Reform Measure 9 : ""Government to issue a circular on the adoption of an annex to the Green Book that specifies selection and prioritization criteria for major infrastructure projects that is aligned with the NDC and the NAP"" for end-June 2025).",https://www.imf.org/-/media/Files/Publications/CR/2023/English/1BGDEA2023001.ashx,0.0,
"Bangladesh-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Bangladesh,SAR,South Asia Region,Lower-middle income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,"Bangladesh is not part of jurisdictions where the government or another authority has issued climate-related disclosure requirements that incorporate or draw from the TCFD recommendations. See 2023 TCFD Status Report : https://www.fsb.org/wp-content/uploads/P121023-2.pdf

No TCFD report published by a SOE from Bangladesh was found online. ",https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Bangladesh-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Bangladesh,SAR,South Asia Region,Lower-middle income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,Partial,"a) No recent climate risk assessment found at the subnational level. 

b) Climate Action Plans for Dhaka North City Corporation and Dhaka South City Corporation are in the process of being developed. 

https://southasia.iclei.org/project/climate-action-plans-for-dhaka-north-city-corporation-and-dhaka-south-city-corporation/
",,0.5,
Bangladesh-Climate change framework law,Bangladesh,SAR,South Asia Region,Lower-middle income,Climate change framework law,Governance,CC law,No,,,0.0,
Bangladesh-National adaptation plan,Bangladesh,SAR,South Asia Region,Lower-middle income,National adaptation plan,Governance,NAP,Yes,National Adaptation Plan of Bangladesh (2023-2050),https://unfccc.int/sites/default/files/resource/NAP-Bangladesh-2023.pdf,1.0,
Bangladesh-Long-term strategy,Bangladesh,SAR,South Asia Region,Lower-middle income,Long-term strategy,Governance,LTS,No,https://www4.unfccc.int/sites/SubmissionsStaging/Documents/202211020942---National%20Adaptation%20Plan%20of%20Bangladesh%20(2023-2050).pdf,,0.0,
Bangladesh-Does the country include environmental criteria in procurement tenders? Give one example,Bangladesh,SAR,South Asia Region,Lower-middle income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Partial,"Bangladesh’s public procurement regulations lack mandatory environmental criteria. While there are several sustainability initiatives—such as promoting energy-efficient technologies in public infrastructure, including energy-efficient lighting, district cooling systems, and green building certifications under the National Energy Efficiency Action Plan (NEEAP)—these remain voluntary and are not consistently enforced across public procurements. Therefore, environmental considerations are currently encouraged rather than mandated.

The SPP Policy 2023 has been enacted and this policy is based on three pillars—economic, environmental, and social—and emphasises integrating sustainability into public procurement. However, this has not yet been implemented and work is being done to amend the Public Procurement Act 2006 (PPA 2006) and Public Procurement Rules 2008 (PPR 2008) to incorporate SPP policies. 

https://www.switch-asia.eu/site/assets/files/4036/bangladesh_gpp_assessment_report.pdf ",https://www.dpp.gov.bd/upload_file/gazettes/51419_33706.pdf,0.5,
Belarus-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Belarus,ECA,Europe and Central Asia,Upper-middle income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,No,Belarus has a National Council for Sustainable Development but it is focused on coordinating SDGs and not climate policy.,https://sdgs.by/en/architecture/sovet-po-ustojchivomu-razvitiyu/,0.0,
Belarus-Does the national government (or other body) publish climate risk information covering all local government units?,Belarus,ECA,Europe and Central Asia,Upper-middle income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Yes,"The Pogoda portal of the Belarusian government has hydrological risk maps, including a river level warning map.",https://pogoda.by/observation/hydrology,1.0,
Belarus-Do fiscal risk statements identify climate change-related risks?,Belarus,ECA,Europe and Central Asia,Upper-middle income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Info not found,FIscal risk statement was not found.,,0.0,
Belarus-Is climate change reflected in the budget guidelines?,Belarus,ECA,Europe and Central Asia,Upper-middle income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Info not found,Budget guidelines were not found.,,0.0,
Belarus-Are climate-related expenditures identified in the budget and/or tracked?,Belarus,ECA,Europe and Central Asia,Upper-middle income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,No evidence of climate budget tagging in Belarus was found.,https://www.minfin.gov.by/en/budgetary_policy/docnew/76527deb8efb478b.html,0.0,
"Belarus-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Belarus,ECA,Europe and Central Asia,Upper-middle income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,No,No evidence was found of public investment screening for climate or of climate change considerations in the EIA law.,https://pravo.by/document/?guid=12551&p0=H11600399; https://www.oecd.org/env/country-reviews/2452590.pdf,0.0,
"Belarus-Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Belarus,ECA,Europe and Central Asia,Upper-middle income,"Does the Government require SOEs (even if the largest only) to comply with the elements of the TFCD framework (disclosure of Climate Governance, Strategy, Risk, Metrics)?",Governance,SOE TCFD disclosure,No,No mandatory TCFD requirements. No SOE was found to publish TCFD-aligned reports.,https://www.fsb.org/wp-content/uploads/P121023-2.pdf,0.0,
Belarus-Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Belarus,ECA,Europe and Central Asia,Upper-middle income,Have subnational governments prepared and published a) CC physical risk assessments and b) CC strategies and plans for their territories? in the past 5 years?,Governance,Subnational government,No,Neither were found at the subnational level.,,0.0,
Belarus-Climate change framework law,Belarus,ECA,Europe and Central Asia,Upper-middle income,Climate change framework law,Governance,CC law,No,,,0.0,
Belarus-National adaptation plan,Belarus,ECA,Europe and Central Asia,Upper-middle income,National adaptation plan,Governance,NAP,No,,,0.0,
Belarus-Long-term strategy,Belarus,ECA,Europe and Central Asia,Upper-middle income,Long-term strategy,Governance,LTS,No,,,0.0,
Belarus-Does the country include environmental criteria in procurement tenders? Give one example,Belarus,ECA,Europe and Central Asia,Upper-middle income,Does the country include environmental criteria in procurement tenders? Give one example,Procurement,GPP,Partial,"Public procurement in Belarus is primarily governed by the 'Law of the Republic of Belarus on Public Procurement of Goods (Works, Services),' enacted on July 13, 2012. While this legislation does not include mandatory environmental criteria for public procurement, environmental objectives—such as the 'greening of public procurements'—are outlined in Article 4 as key goals and guiding principles within the procurement process.",https://cis-legislation.com/document.fwx?rgn=53180,0.5,
Belgium-Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Belgium,ECA,Europe and Central Asia,High income,Is there a mechanism to coordinate among national government agencies on climate strategy and policy?,Governance,Coordination,Yes,"In order to ensure the coordination of the Belgian climate policy at national level, a separate body has been created in 2002: the National Climate Commission (NCC).",https://www.cnc-nkc.be/en/about-national-climate-commission,1.0,
Belgium-Does the national government (or other body) publish climate risk information covering all local government units?,Belgium,ECA,Europe and Central Asia,High income,Does the national government (or other body) publish climate risk information covering all local government units?,Governance,Climate risk information,Yes,"The Royal Institute of Meteorology publishes comprehensive climate change projections and climatic maps covering the whole territory, as well as climate extreme warnings.  Hydrometeorological risks are studied (intense precipitations, floods, droughts) and the RMI website provides drought risks maps.",https://www.meteo.be/en/weather/forecasts/drought,1.0,
Belgium-Do fiscal risk statements identify climate change-related risks?,Belgium,ECA,Europe and Central Asia,High income,Do fiscal risk statements identify climate change-related risks?,Governance,Fiscal risk statement,Info not found,No fiscal risk statements were found.,,0.0,
Belgium-Is climate change reflected in the budget guidelines?,Belgium,ECA,Europe and Central Asia,High income,Is climate change reflected in the budget guidelines?,Governance,Budget guidelines,Yes,"The Draft Budgetary Plan Belgium 2024 describes the main features of Belgium budgetary policy for 2024 for both the federal governments and the regions and that includes climate change-related initiatives, plans and investments.",https://bosa.belgium.be/sites/default/files/content/documents/16-10%20DBP%202024.pdf,1.0,
Belgium-Are climate-related expenditures identified in the budget and/or tracked?,Belgium,ECA,Europe and Central Asia,High income,Are climate-related expenditures identified in the budget and/or tracked?,Governance,Budget tracking,No,"According to the OECD questionnaire, Belgium does not practice any forme of green budgeting.",https://qdd.oecd.org/subject.aspx?Subject=GOV_GREENBUD,0.0,
"Belgium-Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Belgium,ECA,Europe and Central Asia,High income,"Are national public investment projects screened for climate policy alignment, climate impacts and climate-related risks?",Governance,Public investment screening,Yes,"As an EU member country, Belgium must incorporate climate change impact in its Environmental Impact Assessment at project level.

https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32014L0052&from=FR",https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32014L0052&from=FR,1.0,
